,"(1, 2, 3)","(4, 5, 6)","(7, 8, 9)","(10, 11, 12)"
var_1,2.176241867218833,2.274868331726867,2.938343774156596,2.2234335089703934
var_2,1.70019005546534,1.7462243454041249,2.229401285117274,1.7475079112431642
var_3,1.4647994544855494,1.4899004733302172,1.8906980466244558,1.5142579215994902
var_4,1.3149019273590465,1.3250012248322074,1.6778946835040025,1.3617622763461639
autocorr_1_1,0.22070469982061894,0.17846731887977266,0.15133386680532798,0.23543529262229887
autocorr_2_1,0.09729626961954882,0.07331953553984705,0.060498713536630846,0.11632875707326953
autocorr_3_1,0.06382818235318033,0.03196005467322308,0.0336411131194007,0.061886641102781866
fih_1,0.5839133233499728,0.5619835564522411,0.708159111093845,0.533010742604424
fiWW_1,0.7023954904005925,0.571130945540495,0.5607919033165671,0.5692962097531382
fiDD_1,0.787932101557716,0.6657345293731799,0.8189970596397689,0.6226454232759915
M3_1,3.6812328514905257,4.249193965809097,5.450209677314319,3.850085178053691
