,"(1, 2, 3)","(4, 5, 6)","(7, 8, 9)","(10, 11, 12)"
landa1,0.024,0.024,0.10469726282613703,0.024
ipsilon1,15.594525957958894,32.02101911554764,4.341212650904276,27.62840972946358
eta1,892.9941319942953,1201.5332002614887,457.81553699244677,1600.0
betha1,0.24,0.7251045378217438,1.4239509650113056,0.630254502948654
fi_may1,1.066836641958764,1.187469752505909,0.23122294030162782,2.0
landa2,0.144231527867055,0.3294753858343208,0.024,0.4332174515370967
ipsilon2,8.944110301713206,2.0,8.451824939532854,2.0
eta2,1600.0,400.64731248184677,451.53484703478586,1316.835140915477
betha2,1.7902317168441035,1.2774877358003236,0.24,5.120445618795699
fi_may2,0.954808478241044,0.6612581805558847,1.8238951091098907,0.13062129645062392
