,"(1, 2, 3)","(4, 5, 6)","(7, 8, 9)","(10, 11, 12)"
var_1,2.149789636423464,2.365026728427128,2.742066323186886,2.26705239782785
var_2,1.6889807433174537,1.8238788678874185,2.112520177085626,1.8015434265816064
var_3,1.4576487496667518,1.5536472121267604,1.8019005554769187,1.5649466735381328
var_4,1.304513199359264,1.3778986269825746,1.6003150480792134,1.4064296211201384
autocorr_1_1,0.2344896748764666,0.18946008261143618,0.1870685992298336,0.2629796425080388
autocorr_2_1,0.09985802207933843,0.06306195627244429,0.06906611401448856,0.11835522524791242
autocorr_3_1,0.04255900482490976,0.021012146864761175,0.025527378734586968,0.05330235108203137
fih_1,0.5544754788554078,0.6088256377071258,0.6850309950902965,0.5962531745950377
fiWW_1,0.7227916719178402,0.6677176777015552,0.6310369572288432,0.7258554507312326
fiDD_1,0.7772613716281158,0.7865064848191953,0.830355234634647,0.8143657825478011
M3_1,3.7270813397698643,4.1713747717410445,4.917266186467923,3.8476838379407976
