,1078E,1086,1093,1095E,1097,1104,1104O,9048
var_1,2.1487366297772783,2.1549278994162915,2.2873750995477358,2.0780778639060955,2.0970171483216764,1.9201197895589943,2.019589377525328,2.560688536952774
var_2,1.7007429284607545,1.6245287489019933,1.7682631521467003,1.619906150772658,1.5954018933986456,1.5157100884645607,1.5755487079118111,1.9770845194990863
var_3,1.4934940629093332,1.394213422238357,1.5205076904951016,1.3964553579511576,1.3501102489591108,1.3355858902042028,1.3558013512348415,1.6527111023026273
var_4,1.309325440045453,1.2473779676304972,1.3707986058717752,1.2654348951297476,1.1855533807969176,1.2017478178976884,1.2077353150199293,1.4984515613063096
autocorr_1_1,0.26066157130510276,0.14554984505080942,0.2056737179782531,0.21509483519705633,0.15505995804403983,0.2605133563616809,0.20629213108689165,0.17307377839798888
autocorr_2_1,0.12035076603695659,0.0471567852995397,0.08108777911383602,0.11286907045769666,0.0518342790780996,0.12271059092011052,0.09807149752627822,0.0376938473292463
autocorr_3_1,0.046154714479541135,0.0365237831699556,0.04015823995504266,0.055014409598731544,0.021961072575887187,0.08069202898126301,0.09547452940771319,0.020306845128409207
fih_1,0.5352290679304897,0.5738465738465739,0.5984810126582278,0.5509147393855712,0.5747261345852895,0.48118532455315144,0.5223341079266718,0.6683305601774819
fiWW_1,0.6057104010876954,0.5868033311979498,0.5598991172761665,0.577248270561107,0.5768169273229069,0.6368993653671805,0.5940540540540542,0.4958193979933112
fiDD_1,0.6576151121605667,0.693149381541389,0.7047377326565144,0.6553884711779449,0.686861810755616,0.6085043988269795,0.6287691547207119,0.749792531120332
M3_1,3.570460507222172,3.6731935322447766,4.4320399929732925,3.521936724781912,3.48513792977866,3.072201805348182,3.1815484832572323,5.198787799220994
