,1078E,1086,1093,1095E,1097,1104,1104O,9048
var_1,2.307146778740659,2.40999337373646,2.3379331813409534,2.264651561605855,2.416978441789943,2.2529692256593146,2.2888504167571444,2.4524743722764915
var_2,1.7014706991504667,1.7721169755707786,1.8130565828330125,1.729400692858586,1.9095266417295365,1.7586042595700961,1.7400730560639546,1.8709855205645194
var_3,1.4577944967523548,1.4851127190513909,1.5671760741023426,1.461364914545736,1.5512154815675567,1.5153349645129983,1.5133628363167198,1.5461962547306976
var_4,1.2844429283025203,1.3312066571105878,1.3745946558954547,1.3142737201190118,1.4148939465172137,1.3781390525916153,1.346392567223433,1.4023233961365218
autocorr_1_1,0.12455986715015016,0.11185741816951694,0.18370539361932847,0.1439096344759947,0.1737787655140172,0.2073087694206385,0.16443122692311338,0.1706360617482371
autocorr_2_1,0.10062454905323835,0.05170180567112852,0.08412231881606104,0.0941559114609874,0.047645587064863854,0.11089663894437415,0.10075280213804097,0.03188514247254955
autocorr_3_1,0.015114753227286247,0.00034848806349036763,0.029116381771346154,0.01238101854159819,0.00890254197978638,0.04324900605398363,0.01970767632693398,0.026329681966055382
fih_1,0.5762036185219258,0.5992042440318303,0.617669267556003,0.5968352253181974,0.6248019017432647,0.523084025854109,0.5473818646232439,0.6845270639693821
fiWW_1,0.565123010130246,0.544010589013898,0.5378538512179065,0.5085324232081913,0.5353748680042238,0.5909970958373668,0.5756207674943568,0.45667244367417686
fiDD_1,0.6801490154337414,0.6949977866312527,0.7139364303178484,0.6680115273775217,0.720989220038047,0.6270962047661076,0.6490900606626225,0.7496006389776357
M3_1,3.7866829696358404,4.582165102805727,4.8188978600467545,3.996363139367549,4.57856687198995,4.931119817065238,4.844603723790834,4.386329573454098
