,1078E,1086,1093,1095E,1097,1104,1104O,9048
var_1,2.5161102244639024,2.4758235805787403,2.4964213233748684,2.4920035023656513,2.478595733871805,2.4781555498074996,2.496613863893687,2.5499396021856113
var_2,1.9263213808485442,1.904683871208262,1.8997941792958668,1.9135935745139792,1.907011517306555,1.8850472226760748,1.8991090942049402,1.9174818547098813
var_3,1.6454749507479438,1.6064135401465303,1.6076613014703007,1.6118665548669526,1.608052634472761,1.6066857865887598,1.612007518815862,1.6434584278245477
var_4,1.4477079760851828,1.4311624633593842,1.4139448170794906,1.4268413513095113,1.435336079705781,1.414683535354315,1.4258827350647056,1.4364703575200042
autocorr_1_1,0.1617215929608852,0.17339903457756042,0.1545113970653725,0.16656944642237642,0.17152076701166152,0.1595317863264095,0.15743979286022705,0.14314476044562477
autocorr_2_1,0.0658425654343419,0.045835321952812765,0.05343045127056523,0.04223231180557223,0.045103995449924036,0.06544812943573208,0.06517519911946529,0.049587679372673894
autocorr_3_1,0.015346626280169098,0.018211813264386083,0.010644394907737172,0.007868853447046296,0.01516428388047257,0.0007038915087888189,0.0013820592320998146,0.002814516876910935
fih_1,0.6803296703296703,0.6815384615384615,0.6812087912087912,0.6802197802197802,0.6827472527472528,0.6819780219780219,0.6840659340659341,0.6827472527472528
fiWW_1,0.5716741148160881,0.5852311939268463,0.5729058945191313,0.5800687285223366,0.57776238309664,0.5708362128541813,0.5686956521739132,0.5708347765846898
fiDD_1,0.7987401066063641,0.8061915511125444,0.8001290530730762,0.8025848142164781,0.8037984870432963,0.7998710924911376,0.8008032128514057,0.8005794302269434
M3_1,4.367645104082938,4.517749986585474,4.349862728046171,4.50826686295393,4.447235806149874,4.457780190850333,4.4508835311640516,4.808666514188477
