,1078E,1086,1093,1095E,1097,1104,1104O,9048
var_1,2.8321558127098845,2.9029621605675895,2.939895232398809,2.9240252433205964,2.9218504702933643,2.9305412858131676,2.9361863707817393,2.954782620348278
var_2,2.2031896034048097,2.224734878693186,2.2552143430367995,2.224495390177391,2.235221698114336,2.2318400550898763,2.2407605956738896,2.291701220393806
var_3,1.9009652018317147,1.9259172727479694,1.9440232906233708,1.9242725871037791,1.9401827834758192,1.9121248345618793,1.912119208041409,1.973758464191829
var_4,1.6873082925473786,1.6785591968592057,1.7251136207969313,1.6765288642551148,1.6901074886451162,1.6701815709023384,1.6809759889712856,1.7353076455593524
autocorr_1_1,0.21909803503271355,0.1879434609012865,0.20331450700428153,0.17875687759580422,0.18263674939886165,0.176791949857189,0.18487895111712535,0.2156139118966836
autocorr_2_1,0.09163952736649127,0.07657351451528868,0.0854831644863444,0.07764837137437403,0.07660024370998188,0.0550711414774752,0.05455168080175842,0.0792129782291253
autocorr_3_1,0.025993133878868962,0.02334953383062414,0.016293768773674517,0.017141985431445267,0.023005956225742977,0.00784350827011151,0.0057649610718196525,0.01793432111256916
fih_1,0.7579347826086956,0.7589130434782608,0.7569565217391304,0.7580434782608696,0.7614130434782609,0.7567391304347826,0.7569565217391304,0.7580434782608696
fiWW_1,0.5334530758868435,0.5306582506762851,0.5415921288014311,0.5372866127583105,0.5302961275626422,0.5352993744414656,0.5322003577817535,0.5323450134770886
fiDD_1,0.8509967015631723,0.8509023202520768,0.852814474439977,0.8523085747060509,0.852819414703783,0.8506176386095949,0.8497989661114304,0.8507312876398049
M3_1,4.2899577734083705,5.1984378300790475,5.240670535675429,5.239045623412732,5.272422733398775,5.226936782549423,5.312176440163689,5.429666796264676
