,1078E,1086,1093,1095E,1097,1104,1104O,9048
var_1,2.8554438793220718,2.7490240115264757,2.8989753420475854,2.8354251692027557,2.793379226129336,2.843826205546837,2.898247579452229,2.8257273058471313
var_2,2.1531438897719553,2.0574635575065146,2.1601756100971854,2.1182811669478796,2.108587438236351,2.162292730516314,2.1941292598468807,2.1127274998666534
var_3,1.7878069507723962,1.7448783095425255,1.8382798153013447,1.7969104335021484,1.7594416052008621,1.821430937866859,1.850690292211158,1.7820589980242538
var_4,1.5941741877029585,1.5328311896248987,1.6447110086872536,1.597004512226646,1.5676530735970406,1.627301239632779,1.6529699596279213,1.5714776376521704
autocorr_1_1,0.1060280161071114,0.11147239773779426,0.11684399935512021,0.1134581625722744,0.11165790409672069,0.139930469560568,0.12243744560049016,0.10282987424864566
autocorr_2_1,0.04452489320220346,0.03785869753099161,0.03386585550380364,0.05943162747015747,0.048235789013225665,0.03976223310025706,0.0431869447544074,0.04340580047303631
autocorr_3_1,0.02219475410786595,0.012856143061416386,0.02157600536913252,0.018401872813456,0.019359836096628443,0.005461356073156237,0.012883326941030348,0.023299041275989855
fih_1,0.7305491990846682,0.7297482837528604,0.7268878718535469,0.7250572082379863,0.7281464530892449,0.728604118993135,0.7323798627002288,0.7356979405034325
fiWW_1,0.4615711252653927,0.46697713801862845,0.46543778801843344,0.46733250104036633,0.4739057239057237,0.46163575042158483,0.46686618212911496,0.4683982683982682
fiDD_1,0.8014095536413469,0.8026026967701474,0.7991500078702976,0.7980116774498974,0.8035826524198617,0.79946608040201,0.8051866895797531,0.8090202177293935
M3_1,5.743286939992373,4.898680747057612,5.309780917835147,5.866327957241982,4.836291580159806,5.283544051916313,5.148941621961632,4.9328465365094445
