,1078E,1086,1093,1095E,1097,1104,1104O,9048
var_1,2.249014357236513,2.223803959201485,2.219670118851262,2.2190858866275534,2.2202275753367067,2.2267351074246986,2.228207296984078,2.255429151400032
var_2,1.7630334875513145,1.7527544473736214,1.7401266222805982,1.7470951890950845,1.7363826688900235,1.7433363828249087,1.7492257719842126,1.747606713553919
var_3,1.5430576477631492,1.5124678702446328,1.5255225090904527,1.5141415654785713,1.5006088747098127,1.526118462243104,1.5222167817224515,1.5411718101105345
var_4,1.390179924050757,1.3951357656967713,1.3674598037468895,1.3953098035409024,1.3834367472379423,1.3844425268145828,1.3913748484884614,1.381864175638999
autocorr_1_1,0.20807414304957858,0.21825048474750658,0.21487887304235728,0.22106098258066045,0.2124117835936248,0.21680125605001127,0.21958733746147352,0.19986977121066787
autocorr_2_1,0.12526889624870552,0.12861967302356445,0.11880001847892761,0.13319639407862674,0.12506529792224705,0.11563203955680501,0.11535204353162505,0.10836279956389225
autocorr_3_1,0.05482496113295525,0.057869135903415636,0.05571022438432756,0.06427548552911765,0.06602478149259582,0.06016453453914663,0.06438812188910181,0.05451133147727324
fih_1,0.5971191135734072,0.5921329639889197,0.595235457063712,0.592797783933518,0.5926869806094183,0.5944598337950139,0.5945706371191136,0.5951246537396122
fiWW_1,0.680968096809681,0.6908448791089377,0.6851902545852722,0.6881632653061225,0.69069640914037,0.6915300546448087,0.6892593604810056,0.6789819376026273
fiDD_1,0.7847467062534793,0.7870508982035928,0.7859270290394638,0.7857943925233645,0.7874369040942232,0.7895619757688722,0.7881103242638836,0.7816049152857941
M3_1,4.05811314621474,3.8836444260273626,3.887072474135493,3.8800721223226686,3.828464451590558,3.933534383574847,3.945024837540476,3.983616706511696
