,"(1, 2, 3)","(4, 5, 6)","(7, 8, 9)","(10, 11, 12)"
mean,3.5664656998533486,2.857791586998088,2.2686395202020204,4.467284149484536
var_1,50.611119218026694,45.93650557542954,60.92538489151895,83.35441130972299
var_2,131.85404482289456,114.03436876044717,145.50237999216128,216.73878823393653
var_3,234.49073941885504,201.48779255488301,236.38135681026503,384.3300313481943
var_4,346.91175342176757,275.1606867757049,355.51322252262736,545.2772190642561
autocorr_1_1,0.3431361697401562,0.28812533984678385,0.26500341502144886,0.3448567815815068
autocorr_2_1,0.17246865176216947,0.09097588005989596,0.06470587129970434,0.16664411429577375
autocorr_3_1,0.10833671832779669,0.053147609999996695,0.026362729648442215,0.09745387292857231
fih_1,0.5124653739612188,0.5336201402166986,0.6295770202020202,0.5191688144329897
fiWW_1,0.7222593582887701,0.7061838059446531,0.6263314870046869,0.699497487437186
fiDD_1,0.73577106518283,0.7432069274410271,0.7801453998495864,0.7216878684455477
M3_1,1217.8026342573655,1619.5285844348984,5543.902930295336,2648.6845691356966
