,"(1, 2, 3)","(4, 5, 6)","(7, 8, 9)","(10, 11, 12)"
landa,0.10840259206139208,0.1454125353992987,0.06675036473487034,0.10615690376865573
ipsilon,15.2381937877192,5.860758873311115,6.596254093752608,33.48678688919792
eta,39.21554485865486,24.831581443584962,16.244034352199055,66.13896047081103
xi,0.012,0.012,0.012,0.012
betha,0.48,0.48,1.059096115367382,0.8136011549101423
