,"(1, 2, 3)","(4, 5, 6)","(7, 8, 9)","(10, 11, 12)"
mean,3.510214531160166,2.860026619288185,2.258790094337319,4.479021124630117
var_1,52.455155567147465,48.40696513173624,72.60827023344063,81.87606521870984
var_2,140.0894727041931,115.39657977663464,178.9774812213946,236.10065739006052
var_3,249.0215415702521,192.92864681931576,296.0714293884378,422.2432848869343
var_4,371.13230548903516,276.98420831463596,416.88438501381177,622.5338670322074
autocorr_1_1,0.3353260627057482,0.19194189785076105,0.23248688232049589,0.4418173171816527
autocorr_2_1,0.20300913703087134,0.10889396153107496,0.07385341328617558,0.19491676377133327
autocorr_3_1,0.12561868237960022,0.06738177486324369,0.0256100816502988,0.08639859897154878
fih_1,0.5339310232003203,0.5906909790338818,0.8264636842865531,0.570053374392218
fiWW_1,0.778944152422338,0.6487410816811481,0.6175223546237624,0.8117278963707985
fiDD_1,0.8070401077679035,0.7566012533357815,0.9196894398588804,0.8580010937787041
M3_1,1323.4985202107866,1574.0986377358563,4033.229167487257,2135.6447986209496
